GeneID,GeneName,IsCoding,log2FoldChange,stat,pvalue,padj,MDA-Enza_1,MDA-Enza_2,MDA-Enza_3,MDA-DMSO_1,MDA-DMSO_2,MDA-DMSO_3
ENSG00000071242,RPS6KA2,TRUE,0.046516102,0.750738389,0.452810115,0.534838788,7915.879763,7456.047473,8117.113822,7870.313749,7680.950682,7188.667965
ENSG00000211690,TRGJ1,TRUE,-0.548786516,-0.750501002,0.452953021,0.534975773,13.16492239,8.51827656,2.443809671,14.48841453,8.0418277,13.44573834
ENSG00000090581,GNPTG,TRUE,-0.048944277,-0.750463783,0.452975429,0.534975773,3681.476511,3468.642215,3478.763066,3765.952891,3461.001596,3769.608786
ENSG00000254985,RSF1-IT2,FALSE,-0.5344538,-0.750273111,0.453090234,0.53508222,4.701757997,7.666448904,13.44095319,6.209320512,16.0836554,14.40614823
ENSG00000177051,FBXO46,TRUE,-0.04833986,-0.749893015,0.453319142,0.535307399,2852.086401,2668.776046,2711.40683,2870.77585,2897.068429,2745.811852
ENSG00000139324,TMTC3,TRUE,0.053459442,0.749874528,0.453330277,0.535307399,10078.68844,9619.689719,10122.25966,10249.51839,8602.745182,9881.657274
ENSG00000167702,KIFC2,TRUE,-0.223851279,-0.749297751,0.453677763,0.535688553,5341.197084,3517.196392,3586.290692,3287.835211,5588.065023,5657.774614
ENSG00000197385,ZNF860,TRUE,0.060910259,0.749250435,0.453706276,0.535693052,1323.0747,1268.37138,1221.904835,1293.60844,1194.211413,1170.739646
ENSG00000173567,GPR113,TRUE,-0.315765786,-0.748794139,0.453981293,0.535988584,58.30179916,22.99934671,21.99428704,48.63967734,42.21959542,38.41639527
ENSG00000043591,ADRB1,TRUE,0.112032601,0.748511396,0.454151754,0.536160648,252.9545802,228.2898118,251.7123961,246.303047,219.1398048,212.2505839
ENSG00000105518,TMEM205,TRUE,-0.053606581,-0.748072461,0.454416452,0.536394791,4346.305092,4406.504465,4459.952649,5004.712333,4226.985685,4481.272508
ENSG00000197976,AKAP17A,TRUE,-0.051982916,-0.748047094,0.454431752,0.536394791,3853.560854,3575.9725,3481.206876,3552.76622,3956.579228,3804.183542
ENSG00000256870,SLC5A8,TRUE,-0.577523163,-0.748026602,0.454444112,0.536394791,5.642109596,4.25913828,15.88476286,9.313980768,6.031370775,22.08942728
ENSG00000269871,AC040977.1,TRUE,0.309518984,0.748018461,0.454449022,0.536394791,24.44914158,77.5163167,63.53905144,61.05831837,34.17776772,38.41639527
ENSG00000181555,SETD2,TRUE,0.053507589,0.74789258,0.454524954,0.536455216,12174.73216,12949.48403,13161.13698,11112.61394,13255.94773,12519.90322
ENSG00000187736,NHEJ1,TRUE,0.377777045,0.747486985,0.454769656,0.536714817,17.86668039,17.88838078,35.43524023,17.59307478,23.12025464,13.44573834
ENSG00000131669,NINJ1,TRUE,-0.057523934,-0.746995448,0.455066309,0.53700428,4544.71928,4594.758377,4897.39458,5229.282758,4343.592186,5031.587371
ENSG00000134815,DHX34,TRUE,-0.050186204,-0.746992351,0.455068178,0.53700428,2302.921067,2352.747986,2244.639183,2308.832344,2496.987501,2341.479292
ENSG00000244693,CTAGE8,TRUE,0.250498447,0.746957505,0.455089212,0.53700428,47.95793157,57.92428061,36.65714506,37.25592307,38.19868157,45.13926444
ENSG00000232686,ARID4B-IT1,FALSE,0.371587786,0.746897838,0.455125231,0.537017561,32.91230598,17.03655312,19.55047737,13.45352778,20.10456925,20.16860752
ENSG00000170681,MURC,TRUE,0.233551019,0.746821684,0.455171205,0.537042587,45.13687677,49.40600405,54.98571759,41.39547008,41.21436696,44.17885456
ENSG00000267283,AC005306.3,FALSE,0.239690673,0.74639944,0.455426158,0.537314164,47.95793157,70.70169545,52.54190792,60.02343162,48.2509662,37.45598539
ENSG00000184068,RP5-821D11.7,FALSE,0.190609842,0.74630531,0.455483005,0.537351999,75.22812795,124.3668378,124.6342932,110.7328825,90.47056162,82.59524983
ENSG00000256274,TAS2R64P,FALSE,-0.704535883,-0.746176809,0.455560615,0.537414323,0,9.370104216,10.99714352,4.139547008,19.09934079,9.604098818
ENSG00000132139,GAS2L2,TRUE,0.604273776,0.746004924,0.455664441,0.537493152,13.16492239,11.07375953,6.109524177,6.209320512,12.06274155,1.920819764
ENSG00000254463,RP11-484D2.3,FALSE,-0.450758666,-0.745965595,0.455688198,0.537493152,19.74738359,10.22193187,19.55047737,6.209320512,30.15685387,30.73311622
